experiment,best_val_acc,run_id,experiment_type
No Augmentation,0.9837037037037037,1,basic
Geometric Augmentation,0.9848148148148148,1,basic
5% Synthetic Data,0.9829629629629629,1,basic
10% Synthetic Data,0.9803703703703703,1,basic
20% Synthetic Data,0.9807407407407407,1,basic
30% Synthetic Data,0.9777777777777777,1,basic
40% Synthetic Data,0.9796296296296296,1,basic
50% Synthetic Data,0.9762962962962963,1,basic
20% Synthetic Data + Geo Aug,0.9862962962962963,1,geo_synth
30% Synthetic Data + Geo Aug,0.9837037037037037,1,geo_synth
40% Synthetic Data + Geo Aug,0.9825925925925926,1,geo_synth
50% Synthetic Data + Geo Aug,0.9840740740740741,1,geo_synth
No Augmentation,0.9848148148148148,2,basic
Geometric Augmentation,0.9877777777777778,2,basic
5% Synthetic Data,0.98,2,basic
10% Synthetic Data,0.9796296296296296,2,basic
20% Synthetic Data,0.9833333333333333,2,basic
30% Synthetic Data,0.9792592592592593,2,basic
40% Synthetic Data,0.9788888888888889,2,basic
50% Synthetic Data,0.9796296296296296,2,basic
20% Synthetic Data + Geo Aug,0.9848148148148148,2,geo_synth
30% Synthetic Data + Geo Aug,0.9825925925925926,2,geo_synth
40% Synthetic Data + Geo Aug,0.9833333333333333,2,geo_synth
50% Synthetic Data + Geo Aug,0.9859259259259259,2,geo_synth
No Augmentation,0.9803703703703703,3,basic
Geometric Augmentation,0.9877777777777778,3,basic
5% Synthetic Data,0.9807407407407407,3,basic
10% Synthetic Data,0.9822222222222222,3,basic
20% Synthetic Data,0.9781481481481481,3,basic
30% Synthetic Data,0.977037037037037,3,basic
40% Synthetic Data,0.9811111111111112,3,basic
50% Synthetic Data,0.9777777777777777,3,basic
20% Synthetic Data + Geo Aug,0.9848148148148148,3,geo_synth
30% Synthetic Data + Geo Aug,0.9825925925925926,3,geo_synth
40% Synthetic Data + Geo Aug,0.9840740740740741,3,geo_synth
50% Synthetic Data + Geo Aug,0.9837037037037037,3,geo_synth
No Augmentation,0.9837037037037037,4,basic
Geometric Augmentation,0.9881481481481481,4,basic
5% Synthetic Data,0.9833333333333333,4,basic
10% Synthetic Data,0.9811111111111112,4,basic
20% Synthetic Data,0.9803703703703703,4,basic
30% Synthetic Data,0.9774074074074074,4,basic
40% Synthetic Data,0.9774074074074074,4,basic
50% Synthetic Data,0.9785185185185186,4,basic
20% Synthetic Data + Geo Aug,0.9848148148148148,4,geo_synth
30% Synthetic Data + Geo Aug,0.9837037037037037,4,geo_synth
40% Synthetic Data + Geo Aug,0.9807407407407407,4,geo_synth
50% Synthetic Data + Geo Aug,0.9818518518518519,4,geo_synth
No Augmentation,0.9851851851851852,5,basic
Geometric Augmentation,0.9833333333333333,5,basic
5% Synthetic Data,0.9814814814814815,5,basic
10% Synthetic Data,0.9792592592592593,5,basic
20% Synthetic Data,0.9814814814814815,5,basic
30% Synthetic Data,0.9774074074074074,5,basic
40% Synthetic Data,0.98,5,basic
50% Synthetic Data,0.9781481481481481,5,basic
20% Synthetic Data + Geo Aug,0.9814814814814815,5,geo_synth
30% Synthetic Data + Geo Aug,0.9811111111111112,5,geo_synth
40% Synthetic Data + Geo Aug,0.9814814814814815,5,geo_synth
50% Synthetic Data + Geo Aug,0.9837037037037037,5,geo_synth
No Augmentation,0.9822222222222222,6,basic
Geometric Augmentation,0.9877777777777778,6,basic
