Class,Precision,Recall,F1-Score,Support,experiment,run_id
AnnualCrop,0.9333333333333333,0.9655172413793104,0.9491525423728814,58.0,No Augmentation,1
Forest,0.9473684210526315,1.0,0.972972972972973,54.0,No Augmentation,1
HerbaceousVegetation,0.9117647058823529,0.96875,0.9393939393939394,64.0,No Augmentation,1
Highway,0.9591836734693877,0.8703703703703703,0.912621359223301,54.0,No Augmentation,1
Industrial,0.9433962264150944,1.0,0.970873786407767,50.0,No Augmentation,1
Pasture,0.972972972972973,0.9473684210526315,0.96,38.0,No Augmentation,1
PermanentCrop,0.9375,0.8823529411764706,0.9090909090909091,51.0,No Augmentation,1
Residential,1.0,0.9836065573770492,0.9917355371900827,61.0,No Augmentation,1
River,0.98,0.9607843137254902,0.9702970297029703,51.0,No Augmentation,1
SeaLake,1.0,0.9830508474576272,0.9914529914529915,59.0,No Augmentation,1
AnnualCrop,0.9661016949152542,0.9827586206896551,0.9743589743589743,58.0,Geometric Augmentation,1
Forest,1.0,1.0,1.0,54.0,Geometric Augmentation,1
HerbaceousVegetation,0.927536231884058,1.0,0.9624060150375939,64.0,Geometric Augmentation,1
Highway,0.9629629629629629,0.9629629629629629,0.9629629629629629,54.0,Geometric Augmentation,1
Industrial,0.9245283018867925,0.98,0.9514563106796117,50.0,Geometric Augmentation,1
Pasture,1.0,0.9736842105263158,0.9866666666666667,38.0,Geometric Augmentation,1
PermanentCrop,0.9787234042553191,0.9019607843137255,0.9387755102040817,51.0,Geometric Augmentation,1
Residential,1.0,0.9672131147540983,0.9833333333333333,61.0,Geometric Augmentation,1
River,1.0,0.9803921568627451,0.9900990099009901,51.0,Geometric Augmentation,1
SeaLake,1.0,0.9830508474576272,0.9914529914529915,59.0,Geometric Augmentation,1
AnnualCrop,0.8888888888888888,0.9655172413793104,0.9256198347107438,58.0,5% Synthetic Data,1
Forest,0.9473684210526315,1.0,0.972972972972973,54.0,5% Synthetic Data,1
HerbaceousVegetation,0.9538461538461539,0.96875,0.9612403100775194,64.0,5% Synthetic Data,1
Highway,0.9074074074074074,0.9074074074074074,0.9074074074074074,54.0,5% Synthetic Data,1
Industrial,0.9787234042553191,0.92,0.9484536082474226,50.0,5% Synthetic Data,1
Pasture,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0,5% Synthetic Data,1
PermanentCrop,0.9555555555555556,0.8431372549019608,0.8958333333333334,51.0,5% Synthetic Data,1
Residential,1.0,1.0,1.0,61.0,5% Synthetic Data,1
River,0.9615384615384616,0.9803921568627451,0.970873786407767,51.0,5% Synthetic Data,1
SeaLake,1.0,0.9830508474576272,0.9914529914529915,59.0,5% Synthetic Data,1
AnnualCrop,0.9354838709677419,1.0,0.9666666666666667,58.0,10% Synthetic Data,1
Forest,0.9818181818181818,1.0,0.9908256880733946,54.0,10% Synthetic Data,1
HerbaceousVegetation,0.9375,0.9375,0.9375,64.0,10% Synthetic Data,1
Highway,0.9615384615384616,0.9259259259259259,0.9433962264150944,54.0,10% Synthetic Data,1
Industrial,0.9074074074074074,0.98,0.9423076923076923,50.0,10% Synthetic Data,1
Pasture,1.0,0.9473684210526315,0.972972972972973,38.0,10% Synthetic Data,1
PermanentCrop,0.9166666666666666,0.8627450980392157,0.8888888888888888,51.0,10% Synthetic Data,1
Residential,1.0,0.9672131147540983,0.9833333333333333,61.0,10% Synthetic Data,1
River,0.9807692307692307,1.0,0.9902912621359223,51.0,10% Synthetic Data,1
SeaLake,1.0,0.9830508474576272,0.9914529914529915,59.0,10% Synthetic Data,1
AnnualCrop,0.95,0.9827586206896551,0.9661016949152542,58.0,20% Synthetic Data,1
Forest,0.9473684210526315,1.0,0.972972972972973,54.0,20% Synthetic Data,1
HerbaceousVegetation,0.9242424242424242,0.953125,0.9384615384615385,64.0,20% Synthetic Data,1
Highway,0.896551724137931,0.9629629629629629,0.9285714285714286,54.0,20% Synthetic Data,1
Industrial,0.96,0.96,0.96,50.0,20% Synthetic Data,1
Pasture,0.9714285714285714,0.8947368421052632,0.9315068493150684,38.0,20% Synthetic Data,1
PermanentCrop,0.9574468085106383,0.8823529411764706,0.9183673469387755,51.0,20% Synthetic Data,1
Residential,1.0,0.9836065573770492,0.9917355371900827,61.0,20% Synthetic Data,1
